country,Population,date,HighestInfectionCount,PercentPopulationInfected
India,1425423209,2020-01-09,0,0
Russia,145579889,2020-01-09,0,0
Japan,124997585,2020-01-09,0,0
Mexico,128613116,2020-01-09,0,0
China,1425179562,2020-01-09,4,2.81E-07
United States,341534041,2020-01-09,0,0
United Kingdom,68179315,2020-01-09,0,0
United Kingdom,68179315,2020-01-10,0,0
India,1425423209,2020-01-10,0,0
Russia,145579889,2020-01-10,0,0
China,1425179562,2020-01-10,4,2.81E-07
Japan,124997585,2020-01-10,0,0
United States,341534041,2020-01-10,0,0
Mexico,128613116,2020-01-10,0,0
Russia,145579889,2020-01-11,0,0
United Kingdom,68179315,2020-01-11,0,0
India,1425423209,2020-01-11,0,0
China,1425179562,2020-01-11,4,2.81E-07
Mexico,128613116,2020-01-11,0,0
Japan,124997585,2020-01-11,0,0
United States,341534041,2020-01-11,0,0
United Kingdom,68179315,2020-01-12,0,0
India,1425423209,2020-01-12,0,0
Mexico,128613116,2020-01-12,0,0
Russia,145579889,2020-01-12,0,0
Japan,124997585,2020-01-12,0,0
China,1425179562,2020-01-12,45,3.16E-06
United States,341534041,2020-01-12,0,0
United Kingdom,68179315,2020-01-13,0,0
India,1425423209,2020-01-13,0,0
Mexico,128613116,2020-01-13,0,0
Japan,124997585,2020-01-13,0,0
Russia,145579889,2020-01-13,0,0
China,1425179562,2020-01-13,45,3.16E-06
United States,341534041,2020-01-13,0,0
United Kingdom,68179315,2020-01-14,0,0
Japan,124997585,2020-01-14,1,8.00E-07
India,1425423209,2020-01-14,0,0
United States,341534041,2020-01-14,0,0
China,1425179562,2020-01-14,45,3.16E-06
Russia,145579889,2020-01-14,0,0
Mexico,128613116,2020-01-14,0,0
Japan,124997585,2020-01-15,1,8.00E-07
India,1425423209,2020-01-15,0,0
Russia,145579889,2020-01-15,0,0
United States,341534041,2020-01-15,0,0
China,1425179562,2020-01-15,45,3.16E-06
United Kingdom,68179315,2020-01-15,0,0
Mexico,128613116,2020-01-15,0,0
Russia,145579889,2020-01-16,0,0
China,1425179562,2020-01-16,45,3.16E-06
United States,341534041,2020-01-16,0,0
India,1425423209,2020-01-16,0,0
Japan,124997585,2020-01-16,1,8.00E-07
United Kingdom,68179315,2020-01-16,0,0
Mexico,128613116,2020-01-16,0,0
India,1425423209,2020-01-17,0,0
United States,341534041,2020-01-17,0,0
Mexico,128613116,2020-01-17,0,0
Russia,145579889,2020-01-17,0,0
China,1425179562,2020-01-17,49,3.44E-06
United Kingdom,68179315,2020-01-17,0,0
Japan,124997585,2020-01-17,1,8.00E-07
China,1425179562,2020-01-18,49,3.44E-06
Japan,124997585,2020-01-18,1,8.00E-07
United States,341534041,2020-01-18,0,0
Mexico,128613116,2020-01-18,0,0
India,1425423209,2020-01-18,0,0
Russia,145579889,2020-01-18,0,0
United Kingdom,68179315,2020-01-18,0,0
Japan,124997585,2020-01-19,1,8.00E-07
United Kingdom,68179315,2020-01-19,0,0
United States,341534041,2020-01-19,0,0
India,1425423209,2020-01-19,0,0
China,1425179562,2020-01-19,125,8.77E-06
Russia,145579889,2020-01-19,0,0
Mexico,128613116,2020-01-19,0,0
Mexico,128613116,2020-01-20,0,0
China,1425179562,2020-01-20,202,1.42E-05
United Kingdom,68179315,2020-01-20,0,0
Russia,145579889,2020-01-20,0,0
United States,341534041,2020-01-20,1,2.93E-07
Japan,124997585,2020-01-20,1,8.00E-07
India,1425423209,2020-01-20,0,0
United Kingdom,68179315,2020-01-21,0,0
United States,341534041,2020-01-21,1,2.93E-07
India,1425423209,2020-01-21,0,0
Japan,124997585,2020-01-21,1,8.00E-07
Mexico,128613116,2020-01-21,0,0
China,1425179562,2020-01-21,295,2.07E-05
Russia,145579889,2020-01-21,0,0
United Kingdom,68179315,2020-01-22,0,0
Japan,124997585,2020-01-22,1,8.00E-07
India,1425423209,2020-01-22,0,0
Mexico,128613116,2020-01-22,0,0
Russia,145579889,2020-01-22,0,0
